"Name","pitcher_id","Total","AB","blank","CH","CU","EP","FA","FC","FF","FO","FS","FT","IN","KC","KN","PO","SC","SI","SL","UN"
"Colon, Bartolo",112526,8482,0,0.000117896722471115,0.060363121905211,0,0,0,0,0.297217637349682,0,0,0.532185805234614,0.00377269511907569,0,0,0,0,0,0.106342843668946,0
"Hawkins, LaTroy",115629,2424,0,0,0.0412541254125413,0.0478547854785479,0,0,0,0.698019801980198,0,0,0.0338283828382838,0.00618811881188119,0,0,0.000825082508250825,0,0,0.172029702970297,0
"Lowe, Derek",117955,199,0,0,0.0201005025125628,0,0,0,0.0653266331658292,0,0,0,0,0,0,0,0,0,0.798994974874372,0.115577889447236,0
"Oliver, Darren",119984,713,0,0,0.0308555399719495,0,0,0,0,0.518934081346424,0,0,0.193548387096774,0.00420757363253857,0,0,0,0,0,0.252454417952314,0
"Pettitte, Andy",120485,2894,0,0,0.0763648928818245,0.132342778161714,0,0,0.0974429854872149,0.28403593642018,0,0,0.171734623358673,0.00138217000691085,0,0,0,0,0,0.236696613683483,0
"Rivera, Mariano",121250,936,0,0,0,0,0,0,0.888888888888889,0.0972222222222222,0,0,0.00106837606837607,0.0128205128205128,0,0,0,0,0,0,0
"Wright, Jamey",124604,2192,0,0,0.093521897810219,0.222627737226277,0,0,0.415602189781022,0.00866788321167883,0,0,0,0.010492700729927,0,0,0,0,0.222627737226277,0.0264598540145985,0
"Dempster, Ryan",133225,2997,0,0,0,0,0,0,0.0704037370704037,0.40674007340674,0,0.178511845178512,0.0734067400734067,0.00133466800133467,0,0,0.000667334000667334,0,0,0.268935602268936,0
"Byrdak, Tim",136263,80,0,0,0.0875,0,0,0,0,0.525,0,0,0,0,0,0,0,0,0,0.3875,0
"Chen, Bruce",136600,2945,0,0,0.13616298811545,0.121901528013582,0.0380305602716469,0,0,0.152122241086587,0,0,0,0.00814940577249576,0,0,0.00067911714770798,0,0.266213921901528,0.276740237691002,0
"Dotel, Octavio",136734,112,0,0,0,0.0803571428571429,0,0,0.75,0.0446428571428571,0,0,0,0,0,0,0,0,0,0.125,0
"Halladay, Roy",136880,1110,0,0,0.204504504504504,0.220720720720721,0,0,0.218918918918919,0,0,0,0.0018018018018018,0.0036036036036036,0,0,0,0,0.35045045045045,0,0
"Ortiz, Ramon",150009,438,0,0,0.159817351598174,0,0,0,0,0.0730593607305936,0,0,0.363013698630137,0.0136986301369863,0,0,0,0,0,0.39041095890411,0
"Farnsworth, Kyle",150035,1054,0,0,0.0654648956356736,0.00094876660341556,0,0,0.055977229601518,0.24573055028463,0,0,0,0.0047438330170778,0,0,0.00284629981024668,0,0.368121442125237,0.256166982922201,0
"Wolf, Randy",150116,1049,0,0,0.117254528122021,0.167778836987607,0.00190657769304099,0,0.00667302192564347,0.182078169685415,0,0,0.32602478551001,0.00381315538608198,0,0,0,0,0,0.194470924690181,0
"Garcia, Freddy",150119,1161,0,0,0.107665805340224,0.106804478897502,0,0,0,0.0714900947459087,0,0.127476313522825,0,0,0,0,0.00172265288544358,0,0.376399655469423,0.208440999138674,0
"Nathan, Joe",150274,2087,0,0,0.00718735026353618,0.116914230953522,0,0,0.0229995208433158,0.377575467177767,0,0,0.141830378533781,0.0095831336847149,0,0,0,0,0,0.323909918543364,0
"Marquis, Jason",150302,2693,0,0,0.166728555514296,0,0,0,0,0.0337913108057928,0,0,0,0.00594132937244708,0,0,0.000742666171555886,0,0.542888971407352,0.249907166728556,0
"McDonald, John",150348,12,0,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0
"Burnett, A.J.",150359,8981,0,0.00011134617525888,0.0734884756708607,0,0,0,0,0.266006012693464,0,0,0,0.00311769290724864,0.326244293508518,0,0.000445384701035519,0,0.330586794343614,0,0
